id,feature_type,created_at,updated_at,name,description,state_name,releases,parent_id,parent_name,owner_name,tags,start_date,end_date,Realizadores ativos de assinatura,ZhipChat (sample),Effort,Prioritization  score,Melhorar gerenciamento de campanha de Assinaturas priority,Melhorar gerenciamento de campanha de Assinaturas value,Alcançar Product Market Fit em Assinaturas priority,Alcançar Product Market Fit em Assinaturas value,Reduzir Churn de Receita Mensal para < 2% priority,Reduzir Churn de Receita Mensal para < 2% value,Aumentar engajamento e satisfação de realizadores de assinatura priority,Aumentar engajamento e satisfação de realizadores de assinatura value,"Recompensas (apoio, gestão e entrega) priority","Recompensas (apoio, gestão e entrega) value"
808180,component,2018-03-07 08:43:49 UTC,2019-06-26 12:06:48 UTC,Apoiar um projeto,"",Icebox,,807811,Catarse,Thiago Maia,"",,,,,,,,,,,,,,,,
808185,feature,2018-03-07 08:46:52 UTC,2021-08-05 07:46:28 UTC,Ter somente 1 cobrança por mês para todas as minhas assinaturas,"",Icebox,,8924870,Assinar uma campanha no Catarse,Thiago Maia,"",,,,,10,1,,,,,,,2,60,,
808330,component,2018-03-07 10:26:06 UTC,2021-08-05 07:46:28 UTC,Resgatar assinantes perdidos,"",Icebox,,8924870,Assinar uma campanha no Catarse,Thiago Maia,"",,,must have,,,,,,,,,,,,,
808335,feature,2018-03-07 10:30:09 UTC,2018-12-17 23:00:04 UTC,Filtrar projetos de Assinatura no Explore,"Como usuário do Catarse, para poder visualizar somente projetos pontuais e/ou projetos de assinatura quando estou explorando projetos, quero que a área de Explore do Catarse tenha a possibilidade de filtrar projetos por modalidade.",Done,(Default Release Group) 2T 2019,808339,Descobrir projetos,Thiago Maia,"",,,,,5,5,,,2,80,,,,,,
808339,component,2018-03-07 10:32:48 UTC,2019-06-26 12:06:49 UTC,Descobrir projetos,"",Icebox,,807811,Catarse,Thiago Maia,"",,,,,,,,,,,,,,,,
808346,feature,2018-03-07 10:40:47 UTC,2018-04-13 03:46:36 UTC,Mostrar o total de R$ vindos de recuperação automática,"",Icebox,,865701,Acompanhar o andamento da minha campanha,Thiago Maia,"",,,,,5,4,,,1,60,,,2,60,,
821430,feature,2018-03-14 02:40:41 UTC,2019-06-26 07:49:06 UTC,Poder enviar email individualmente para apoiadores,"",Done,,807813,Comunicar com apoiadores,Thiago Maia,"",,,,,,,,,2,60,,,,,,
865495,feature,2018-03-28 23:38:49 UTC,2021-08-05 07:35:52 UTC,Enviar segunda via de boleto automaticamente,"Para reduzir o churn de pagamento em boletos, quero que, após 3 dias da geração do boleto, caso um pagamento não tenha sido identificado em assinaturas, que um novo boleto seja enviado automaticamente para o assinante. Quero que esse ciclo aconteça no máximo duas vezes, portanto o usuário poderá receber ao todo 3 boletos (1 boleto primário e 2 boletos segunda via)

Importante: Para implementar essa estória, é preciso que a máquina de status de uma assinatura seja modificada, de modo que uma assinatura não vira pra inativa se o primeiro pagamento não é efetuado. Ou seja, ela continua ativa e só se torna inativa no caso do terceiro boleto não ser pago .",Done,(Default Release Group) 2T 2019,808330,Resgatar assinantes perdidos,Thiago Maia,"",,,,,5,12,,,,,3,0,,,,
865497,feature,2018-03-28 23:40:54 UTC,2021-07-13 01:57:14 UTC,Gerar uma cobrança para um assinante a partir do painel de controle de campanha,"",Icebox,,865710,Ajudar meus assinantes a gerenciar seus apoios,Thiago Maia,"",,,,,3,11,1,20,1,40,1,20,1,80,,
865500,feature,2018-03-28 23:41:42 UTC,2019-06-26 07:56:49 UTC,Usar PERFIL público como nome do realizador nos emails de assinatura,"",Icebox,,2421486,Mensagens,Thiago Maia,"",,,,,2,5,,,,,,,3,40,,
865501,feature,2018-03-28 23:42:18 UTC,2021-08-05 07:35:52 UTC,Sistema de retentativa automática de cobrança em cartão de crédito,"",Done,,808330,Resgatar assinantes perdidos,Thiago Maia,"",,,,,3,20,,,,,3,60,,,,
865502,feature,2018-03-28 23:43:49 UTC,2021-07-13 01:57:14 UTC,Editar uma assinatura de um assinante pelo painel de controle da campanha,"",Icebox,,865710,Ajudar meus assinantes a gerenciar seus apoios,Thiago Maia,"",,,,,13,2,1,20,1,40,,,1,40,,
865666,feature,2018-03-29 02:26:07 UTC,2018-12-17 23:00:04 UTC,Ter gráfico com Novos Assinantes por dia no painel de controle de Assinaturas,"Como realizador de assinaturas, para saber se minhas ações de divulgação estão surtindo efeito, quero ter um gráfico que mostre os novos assinantes (valor em R$ e quantidade, se possível) no período dos últimos 30 dias.",Done,,865701,Acompanhar o andamento da minha campanha,Thiago Maia,"",,,,,2,6,,,2,60,,,,,,
